Injury Type,Body Part,Category,Severity,Common Causes,First Aid Steps,Red Flag / Emergency Signs,Typical Recovery Time,Male-Specific Notes,Female-Specific Notes,When to See a Doctor
Nosebleed (Epistaxis),Nose,Bleeding,Mild,"Dry air, nose picking, minor trauma","Sit forward, pinch soft part of nose for 10 minutes, breathe through mouth","Doesn't stop after 20 min, heavy bleeding, after significant head trauma",Resolves same day,,,Doesn't stop after 20 minutes or is heavy/recurrent
Broken/Chipped tooth,Mouth/Teeth,Dental,Moderate,"Fall, impact, biting hard object","Rinse mouth with warm water, save any tooth fragment, cold compress for swelling","Severe pain, tooth knocked out completely, visible nerve",Depends on dental treatment,,,Any broken tooth should be seen by a dentist promptly
Insect bite/sting,Skin,Bite/Sting,Mild,"Mosquito, bee, wasp, ant","Remove stinger if present, cold compress, antihistamine/anti-itch cream","Facial/throat swelling, difficulty breathing, widespread hives (anaphylaxis)",A few days,,,Signs of allergic reaction or infection at site
Animal bite,Skin/Soft tissue,Bite/Wound,Moderate,Dog/cat/wild animal bite or scratch,"Clean wound thoroughly with soap and water, apply pressure if bleeding, cover","Deep wound, bite from unknown/wild animal, signs of infection",1-2 weeks,,,Always seek care for possible rabies risk and infection/tetanus
Electric shock,Whole body,Electrical injury,Emergency,"Contact with live wire, faulty appliance",Turn off power source before touching person; call emergency services; check breathing,"Loss of consciousness, burns, irregular heartbeat, difficulty breathing",Varies widely,,,"Always a medical emergency, even if person seems fine"
Blister,Skin,Skin injury,Mild,"Friction from shoes/tools, burns","Leave intact if possible, cover with padded bandage, avoid popping","Signs of infection (pus, spreading redness, warmth)",3-7 days,,,Signs of infection or blister is very large/painful
"Torn ligament (e.g., ACL)",Knee,Ligament,Severe,"Sudden twist/pivot in sports, direct blow to knee","RICE, avoid weight-bearing, immobilize if possible","Pop sound at injury, immediate severe swelling, knee gives way",6-12 months (often with surgery),,,Always needs medical/orthopedic evaluation
Rotator cuff injury,Shoulder,Tendon/Muscle,Moderate,"Repetitive overhead motion, fall, heavy lifting","Rest, ice, avoid overhead activity, gentle range-of-motion as tolerated",Sudden severe weakness or inability to lift arm at all,6-12 weeks (longer if severe),,,"Persistent weakness, pain at night, or limited range of motion"
Tendonitis (overuse),Tendon (varies),Overuse injury,Mild,"Repetitive motion, overtraining, poor technique","Rest the area, ice, gradual return to activity, gentle stretching","Sudden inability to move joint, severe swelling",2-6 weeks,,,"Persistent pain despite rest, or worsening symptoms"
Shin splints,Lower leg,Overuse injury,Mild,"Running on hard surfaces, sudden increase in activity","Rest, ice, supportive footwear, gradual return to activity",Severe localized pain that could indicate stress fracture,2-4 weeks,,,Pain persists despite rest or worsens with walking
Heat exhaustion/heat stroke,Whole body,Environmental,Severe,"Prolonged heat exposure, dehydration, overexertion in heat","Move to cool area, remove excess clothing, cool with water/fanning, rehydrate","Confusion, very high body temp, hot dry skin, loss of consciousness (heat stroke)",Hours to a day for exhaustion,,,"Heat stroke signs (confusion, no sweating, very high temp) is an emergency"
Hypothermia,Whole body,Environmental,Severe,"Prolonged cold exposure, wet clothing, cold water immersion","Move to warmth, remove wet clothing, warm gradually with blankets","Confusion, slurred speech, slow breathing, loss of consciousness",Hours to days depending on severity,,,Moderate-severe hypothermia is a medical emergency
Choking,Airway,Airway obstruction,Emergency,Food/object blocking airway,"Encourage coughing; if unable to breathe/speak, perform abdominal thrusts (Heimlich)","Unable to speak/breathe/cough, turning blue, loss of consciousness",Resolves once airway cleared,,,Always seek medical check after a choking episode
Drowning/Near-drowning,Whole body/Lungs,Respiratory/Whole body,Emergency,"Submersion in water, swimming accidents","Remove from water, call emergency services, begin CPR if not breathing","Any period of submersion with coughing, breathing difficulty, or altered consciousness",Varies widely,,,"Always requires emergency medical evaluation, even if person seems recovered"
Spinal injury (suspected),Spine,Bone/Nerve,Emergency,"Fall from height, diving accident, high-impact collision",Do not move the person; keep head/neck still; call emergency services immediately,"Numbness, paralysis, loss of bladder/bowel control, neck/back pain after trauma","Varies widely, long-term care often needed",,,Always a medical emergency — do not move the person
Burns (Thermal),Skin,Burn,Mild to Severe,"Contact with hot surfaces, steam, boiling water, flames","Cool with running water for 15-20 mins, remove tight items, cover loosely","Large area affected, blistering, loss of skin, difficulty breathing",1-3 weeks for minor burns; severe burns require hospitalization,"Higher incidence (occupational, recreational). Similar treatment",Pregnancy affects pain management options. Healing may be delayed,"Burns >2-3 inches, deep, or on face/hands/genitals need medical attention"
Head injury,Head/Brain,Neurological,Moderate to Severe,"Falls, motor vehicle accidents, assaults, sports injuries","Call 911 for loss of consciousness, monitor breathing, keep person still","Loss of consciousness, vomiting, clear fluid from ears/nose, confusion",2 weeks to months depending on severity; concussion needs medical evaluation,Higher incidence. May underreport symptoms. Sports-related more common,Pregnancy complicates imaging/treatment options. Postpartum mood changes post-concussion,ANY significant head trauma requires emergency evaluation
Ankle sprain (Grade II-III),Ankle,Bone,Moderate,"Rolling ankle during sports/walking, stepping off curb, ligament tear","Rest, ice (20 mins), compression wrapping, elevation, immobilization","Severe swelling, inability to bear any weight, visible deformity",2-6 weeks for Grade II; 6-12 weeks for Grade III; may need PT,Higher incidence in male athletes. Faster return-to-play typical,Hormonal cycle increases injury risk (lower ligament strength mid-cycle). Longer recovery,"Cannot bear weight, severe swelling, or no improvement in 48 hours"
Laceration,Multiple,Bite/Wound,Mild to Moderate,"Cuts from sharp objects, falls, accidents","Stop bleeding with pressure, wash with soap/water, apply antibiotic ointment","Uncontrolled bleeding, gaping wound, deep penetration",7-10 days for simple cuts; larger lacerations may need stitches,Occupational/trauma related. Wound closure easier typically,Pregnancy affects anesthesia options. Scarring may be cosmetic concern,"Deep lacerations, won't stop bleeding, or edges won't stay together"
Muscle strain (Grade I),Multiple,Muscle/Soft tissue,Mild,"Overexertion, sudden movement, lack of warm-up","Rest, ice (15-20 mins), compression, elevation, NSAIDs for pain","Severe bruising, inability to move muscle, severe pain",3-7 days for minor strains,Often occupational/overuse. Recovery 3-7 days typical,Hormonal effects on muscle recovery. Pregnancy increases strain risk significantly,"Severe pain, inability to function, or no improvement in 48 hours"
Dislocation (Shoulder),Shoulder,Bone,Severe,"Falls on outstretched arm, contact sports, motor vehicle accidents","Immobilize arm with sling, ice, seek immediate medical care","Severe pain, visible deformity, numbness, unable to move",2-4 weeks immobilization; 3-6 months full recovery with PT,Higher incidence in contact sports. Faster typical recovery,Genetic ligament laxity more common. Recurrent dislocations more likely. Slower recovery,Always a medical emergency requiring immediate hospital care
Severe bleeding,Multiple,Bleeding,Severe,"Deep wounds, arterial injury, significant trauma","Call 911, apply direct pressure with clean cloth, elevate if possible","Continuous heavy bleeding, blood spurting, dizziness, pale skin",Varies; requires emergency medical intervention,"Consider trauma, alcohol use. Higher baseline hemoglobin",Pregnancy complicates management. Menstrual bleeding disorders may predispose. Lower baseline Hgb,ALWAYS call 911 for severe bleeding; medical emergency
Heat exhaustion,Whole body,Environmental,Moderate to Severe,"Prolonged heat exposure, dehydration, intense exercise in heat","Move to cool area, remove excess clothing, apply cool water, drink fluids","No sweating despite heat, confusion, loss of consciousness, body temp >104°F",2-24 hours after cooling and hydration; may need hospital care,Higher incidence in occupational settings. Sweat response more efficient,Hormonal cycle affects thermoregulation. Higher core temp in luteal phase. Pregnant women at higher risk,Symptoms don't improve in 30 minutes or signs of heat stroke appear
Concussion,Head/Brain,Neurological,Moderate,"Head impact during sports, falls, accidents","Stop activity, observe for confusion/dizziness, seek medical evaluation","Loss of consciousness, severe headache, vomiting, slurred speech",1-3 weeks with physical/cognitive rest; return-to-play protocol required,Higher incidence in contact sports. May return-to-play faster per old protocols,Longer recovery typical. Hormonal factors affect recovery. Postpartum mood effects,Any suspected concussion needs medical evaluation; required before return to activity
Allergic reaction (Severe),Multiple,Airway/Emergency,Severe,"Peanuts, shellfish, medications, insect stings, latex","Call 911, administer epinephrine auto-injector if available, lay person flat","Difficulty breathing, throat swelling, hives, anaphylaxis signs",Requires emergency hospital care; variable recovery,Similar presentation. Epinephrine dosing same weight-based,"Pregnancy affects medication choices. Certain triggers more common (cosmetics, latex in medical settings)",ALWAYS call 911 for severe allergic reactions; medical emergency
