Symptom,Category,Likely Causes,Severity,Commonly Co-occurs With,Red Flag / Emergency Signs,Self-Care Tips,Male-Specific Notes,Female-Specific Notes,When to See a Doctor
Memory loss/confusion,Neurological,"Fatigue, dehydration, stress, medication side effects, aging",Moderate,"Disorientation, difficulty concentrating","Sudden confusion, especially with fever, head injury, or slurred speech","Rest, hydration, reduce distractions",,,Sudden onset or progressively worsening confusion
Cough (dry),Respiratory,"Viral infection, allergies, irritants, acid reflux",Mild,"Sore throat, congestion","Cough with blood, severe breathlessness, or chest pain","Honey/warm fluids, humidifier, avoid irritants",,,Lasts more than 3 weeks
Cough (productive/phlegm),Respiratory,"Bacterial/viral chest infection, bronchitis",Moderate,"Fever, fatigue, chest discomfort",Green/bloody phlegm with high fever and breathlessness,"Fluids, rest, steam inhalation",,,Phlegm is discolored/bloody or persists beyond 10 days
Shortness of breath,Respiratory,"Asthma, anxiety, chest infection, exertion, heart issues",Severe,"Chest tightness, wheezing, rapid heartbeat","Sudden severe breathlessness, blue lips, chest pain","Sit upright, slow breathing, use prescribed inhaler if applicable",Usually indicates cardiac/pulmonary pathology. Take seriously,May be anxiety-related. Pregnancy-related dyspnea normal. Iron deficiency anemia contribution,Any unexplained or worsening breathlessness
Wheezing,Respiratory,"Asthma, allergies, respiratory infection",Moderate,"Cough, chest tightness, shortness of breath",Wheezing with severe breathing difficulty or blue lips,"Avoid triggers, use prescribed inhaler if applicable",,,"New or worsening wheeze, especially in children"
Sore throat,ENT,"Viral infection, strep throat, allergies, dry air",Mild,"Fever, cough, swollen glands","Difficulty swallowing/breathing, drooling, high fever","Warm salt water gargle, fluids, throat lozenges",Similar presentation. Slightly higher risk of strep in children,May worsen with hormonal cycle. Consider candida with certain contraceptives,Lasts more than a week or very severe pain
Runny/stuffy nose,ENT,"Common cold, allergies, sinus infection",Mild,"Sneezing, sore throat, headache",Thick discolored discharge with facial pain and fever,"Saline rinse, fluids, rest",,,Persists beyond 10 days or with facial pain
Ear pain,ENT,"Ear infection, fluid buildup, wax blockage, air pressure changes",Moderate,"Hearing changes, fever, irritability (children)","Severe pain with high fever, swelling behind ear, or fluid discharge","Warm compress, avoid inserting objects in ear",,,Pain persists over 2 days or with fever/discharge
Hearing loss,ENT,"Wax buildup, infection, loud noise exposure, aging",Moderate,"Ringing in ears, ear fullness",Sudden hearing loss in one or both ears,"Avoid loud noise, do not use cotton swabs deep in ear",,,Sudden or unexplained hearing loss
Loss of smell/taste,ENT,"Viral infection, sinus congestion, nasal polyps",Mild,"Nasal congestion, reduced appetite",Sudden loss with no other symptoms lasting weeks,"Saline rinse, allow infection to resolve",,,Persists beyond 2 weeks
Chest pain,Cardiovascular,"Muscle strain, acid reflux, anxiety, heart-related causes",Emergency,"Shortness of breath, sweating, nausea","Pressure/tightness radiating to arm/jaw, sweating, breathlessness",Rest and stop exertion; do not self-diagnose,Classic crushing/pressure pain more likely. Higher cardiac risk age 45+,"Often atypical: sharp, indigestion-like, fatigue, shortness of breath. Higher risk postmenopause",Any unexplained chest pain warrants prompt evaluation
Palpitations (irregular heartbeat),Cardiovascular,"Caffeine, stress, dehydration, anxiety, heart rhythm issues",Moderate,"Dizziness, chest discomfort, anxiety","Palpitations with fainting, chest pain, or breathlessness","Reduce caffeine/stimulants, relax, hydrate",,,"Frequent, prolonged, or with fainting/chest pain"
Swelling in legs/ankles,Cardiovascular,"Prolonged standing/sitting, poor circulation, heart/kidney issues",Moderate,"Heaviness, skin tightness","Sudden one-leg swelling with pain/warmth (possible clot), or breathlessness","Elevate legs, reduce salt intake, move regularly",,,"Sudden, one-sided, or with breathing difficulty"
High blood pressure symptoms,Cardiovascular,"Diet, stress, genetics, lack of activity",Moderate,"Headache, dizziness, blurred vision","Severe headache with vision changes, chest pain, or confusion","Reduce salt/stress, regular monitoring, activity",,,Readings consistently above normal range
Nausea,Digestive,"Motion sickness, infection, food intolerance, pregnancy, anxiety",Mild,"Vomiting, dizziness, abdominal discomfort",Nausea with severe abdominal pain or signs of dehydration,"Small sips of fluids, ginger, bland food",Primarily GI or medication-related. Less common overall,"Consider pregnancy, hormonal contraceptives, hormonal cycle. Morning sickness in pregnancy",Persistent beyond 48 hours or with severe pain
Vomiting,Digestive,"Infection, food poisoning, motion sickness, migraine",Moderate,"Nausea, abdominal pain, diarrhea","Blood in vomit, signs of dehydration, severe abdominal pain","Sip clear fluids, rest stomach, bland diet when able",,,Lasts more than 24 hours or with dehydration signs
Diarrhea,Digestive,"Infection, food intolerance, medication side effect, stress",Moderate,"Cramping, nausea, dehydration","Blood in stool, high fever, signs of severe dehydration","Oral rehydration fluids, bland diet (BRAT), rest",,,Lasts more than 2 days or with blood/fever
Constipation,Digestive,"Low fiber diet, dehydration, inactivity, medication",Mild,"Bloating, abdominal discomfort","Severe pain, inability to pass gas/stool, vomiting","Increase fiber and water intake, gentle activity",,,Lasts more than a week or with severe pain
Abdominal pain,Digestive,"Gas, indigestion, infection, muscle strain, organ-related issues",Moderate,"Nausea, bloating, changes in bowel habits","Severe/localized pain (esp. lower right), rigid abdomen, fever","Rest, light diet, warm compress","Consider appendicitis, kidney stones, IBS equally","Consider menstrual cramping, ovulation pain, endometriosis, pelvic inflammatory disease","Severe, persistent, or localized pain"
Bloating/gas,Digestive,"Diet, food intolerance, swallowing air, digestive disorders",Mild,"Abdominal discomfort, belching",Bloating with severe pain or vomiting,"Smaller meals, limit gas-producing foods, gentle walking",,,Persistent or worsening despite diet changes
Heartburn/acid reflux,Digestive,"Spicy/fatty food, overeating, lying down after meals, GERD",Mild,"Chest burning, sour taste, bloating","Chest pain that could mimic heart issues, difficulty swallowing","Smaller meals, avoid trigger foods, don't lie down right after eating",,,Frequent (2+ times/week) or worsening
Blood in stool,Digestive,"Hemorrhoids, GI infection, ulcers, more serious GI conditions",Severe,"Abdominal pain, fatigue","Large amounts of blood, black tarry stool, dizziness/fainting","Note color/amount, avoid straining",,,Any occurrence should be medically evaluated
Joint pain,Musculoskeletal,"Overuse, arthritis, injury, inflammation",Moderate,"Swelling, stiffness, reduced range of motion",Joint hot/red/swollen with fever,"Rest, ice/heat, gentle movement, OTC pain relief",Often sports/overuse related. Gout 4x more common in men,Autoimmune arthritis (RA) 3x more common. Hormonal changes affect joint inflammation,"Persistent, worsening, or with swelling/redness"
Muscle pain/soreness,Musculoskeletal,"Overexertion, tension, minor strain, viral illness",Mild,"Stiffness, fatigue","Severe pain with swelling, weakness, or dark urine","Rest, gentle stretching, hydration, warm compress",,,Persists beyond a week or is severe
Back pain,Musculoskeletal,"Poor posture, muscle strain, heavy lifting, prolonged sitting",Moderate,"Stiffness, muscle spasm","Pain with numbness/weakness in legs, or loss of bladder/bowel control","Rest briefly then gentle movement, heat/ice, posture correction",Often work-related muscle strain. Disc herniation more common,Pregnancy-related sacroiliac pain common. Osteoporosis risk postmenopause,Lasts more than 2 weeks or radiates down leg
Neck stiffness,Musculoskeletal,"Poor posture, sleeping position, muscle strain",Mild,"Headache, limited range of motion",Stiff neck with high fever and headache (possible meningitis),"Gentle stretching, warm compress, posture adjustment",,,"With fever/headache, or lasts beyond a week"
Swollen joints,Musculoskeletal,"Injury, arthritis, infection, overuse",Moderate,"Pain, warmth, reduced motion",Sudden severe swelling with fever or inability to move joint,"Rest, ice, elevation, compression",,,Persistent swelling or with fever
Muscle weakness,Musculoskeletal,"Overuse, dehydration, electrolyte imbalance, nerve issues",Moderate,"Fatigue, cramping","Sudden one-sided weakness, facial drooping, slurred speech","Rest, hydrate, balanced electrolytes",,,Sudden onset or progressively worsening
Rash,Skin,"Allergic reaction, infection, heat, irritant contact, eczema",Mild,"Itching, redness, swelling","Rash with difficulty breathing, facial swelling, or spreading rapidly","Avoid irritant, cool compress, gentle moisturizer",Often fungal (jock itch) or contact dermatitis,Yeast infections more common. Hormonal triggers. Cosmetics/product reactions,"Spreads, blisters, or doesn't improve in a few days"
Itching,Skin,"Dry skin, allergic reaction, insect bite, irritant",Mild,"Redness, rash",Itching with widespread hives and breathing difficulty,"Moisturize, avoid scratching, cool compress",,,"Persistent, widespread, or affecting sleep"
Hives,Skin,"Allergic reaction, stress, infection, food/medication trigger",Moderate,"Itching, swelling",Hives with facial/throat swelling or breathing difficulty (anaphylaxis),"Antihistamine per label, avoid trigger, cool compress",,,"Widespread, recurring, or with swelling of face/throat"
Dry skin,Skin,"Weather, dehydration, harsh soap, skin conditions",Mild,"Flaking, itching, tightness","Cracking with signs of infection (redness, pus)","Moisturize regularly, lukewarm showers, hydrate",,,Persistent cracking or signs of infection
Excessive bruising,Skin,"Minor trauma, blood thinners, vitamin deficiency, clotting issues",Moderate,"Tenderness, skin discoloration","Bruising with no clear cause, or with unusual bleeding elsewhere","Ice pack initially, elevate area, monitor",,,Frequent unexplained bruising
Painful urination,Urinary,"Urinary tract infection, irritation, dehydration",Moderate,"Urgency, frequency, lower abdominal pain","Pain with fever, back pain, or blood in urine","Increase water intake, avoid irritants (caffeine/alcohol)",,,Persists beyond a day or with fever
Frequent urination,Urinary,"Excess fluid intake, UTI, diabetes, bladder irritation",Mild,"Urgency, thirst",Frequent urination with excessive thirst and fatigue (possible diabetes signs),"Monitor fluid intake, avoid bladder irritants",,,Sudden change in pattern or with other symptoms
Blood in urine,Urinary,"UTI, kidney stones, strenuous exercise, more serious causes",Severe,"Pain, urgency",Blood in urine with severe pain or inability to urinate,"Note frequency/amount, stay hydrated",,,Any occurrence should be medically evaluated
Irregular menstrual cycle,Reproductive,"Stress, hormonal changes, weight changes, underlying conditions",Mild,"Cramping, mood changes","Severe pain, very heavy bleeding, or bleeding after menopause","Track cycle, manage stress, balanced diet",,,Persistent irregularity or very heavy/painful periods
Anxiety,Mental Health,"Stress, life changes, underlying anxiety disorder",Moderate,"Restlessness, rapid heartbeat, trouble sleeping","Panic with chest pain/breathlessness, or thoughts of self-harm","Breathing exercises, reduce stimulants, talk to someone trusted",Often presents as irritability/anger. Underdiagnosed. May manifest as physical symptoms,More likely diagnosed. Linked to hormonal cycles. Postpartum anxiety/depression common,Interferes with daily life or persists
Insomnia/sleep disturbance,Mental Health,"Stress, caffeine, screen time, irregular schedule",Mild,"Fatigue, irritability, poor concentration",Chronic insomnia with mood changes or thoughts of self-harm,"Consistent sleep schedule, reduce screens/caffeine before bed",,,Persists beyond 3-4 weeks
Depression/low mood,Mental Health,"Stress, life events, underlying mood disorder",Moderate,"Fatigue, appetite changes, withdrawal",Thoughts of self-harm or hopelessness,"Stay connected with others, gentle routine, sunlight/activity",,,Persists beyond 2 weeks or affects daily functioning
Blurred vision,Eye,"Eye strain, dry eyes, refractive error, migraine",Moderate,"Headache, eye discomfort","Sudden vision loss/change, especially one-sided","Rest eyes, reduce screen time, adequate lighting",,,Sudden onset or persistent change
Eye redness/irritation,Eye,"Allergies, dryness, infection (conjunctivitis), irritant exposure",Mild,"Itching, discharge, watering","Severe pain, vision changes, or thick discharge","Cool compress, avoid rubbing, artificial tears",,,Persists beyond a few days or with pain/vision changes
Sensitivity to light,Eye,"Migraine, eye infection, eye strain",Mild,"Headache, eye discomfort",With severe eye pain or sudden vision change,"Dim lighting, sunglasses outdoors, rest eyes",,,Persistent or with headache/vision changes
Sore throat,ENT,"Strep throat, pharyngitis, viral infection, allergies, GERD",Mild to Moderate,"Fever, cough, swollen glands, difficulty swallowing","Severe difficulty swallowing, drooling, breathing difficulty","Gargle with salt water, throat lozenges, warm tea with honey, rest voice",Similar presentation. Slightly higher risk of strep in children,May worsen with hormonal cycle. Consider candida with certain contraceptives,"Lasts >1 week, severe pain, fever >101°F, difficulty swallowing"
Congestion,ENT,"Common cold, flu, allergies, sinusitis, nasal polyps",Mild to Moderate,"Cough, runny nose, sneezing, sinus pressure","High fever, severe headache, facial swelling","Saline nasal drops, humidifier, steam inhalation, hydration",Usually viral/allergic. Sinusitis more common in women,Hormonal nasal congestion during menstrual cycle. Pregnancy rhinitis common,"Lasts >2 weeks, accompanied by high fever or facial pain"
Nausea,Digestive,"Food poisoning, gastroenteritis, migraines, pregnancy, medication side-effect",Mild to Moderate,"Vomiting, diarrhea, abdominal cramping, loss of appetite","Severe abdominal pain, persistent vomiting, signs of dehydration","Small frequent meals, ginger, peppermint tea, avoid strong smells",Primarily GI or medication-related. Less common overall,"Consider pregnancy, hormonal contraceptives, hormonal cycle. Morning sickness in pregnancy","Lasts >24 hours, accompanied by severe pain or fever"
Chest pain,Cardiovascular,"Heart attack, angina, anxiety, muscle strain, GERD, pneumonia",Moderate to Severe,"Shortness of breath, sweating, palpitations, jaw/arm pain","Sharp persistent pain, difficulty breathing, loss of consciousness","Rest, avoid strenuous activity, stress management, antacids if GERD-related",Classic crushing/pressure pain more likely. Higher cardiac risk age 45+,"Often atypical: sharp, indigestion-like, fatigue, shortness of breath. Higher risk postmenopause",ANY chest pain requires evaluation; seek emergency care immediately
Shortness of breath,Cardiovascular,"Asthma, pneumonia, heart disease, anxiety, obesity, anemia",Moderate to Severe,"Chest pain, rapid heartbeat, cough, dizziness","Severe difficulty breathing, wheezing, blue lips, confusion","Slow deep breathing, elevate head, avoid triggers, relaxation techniques",Usually indicates cardiac/pulmonary pathology. Take seriously,May be anxiety-related. Pregnancy-related dyspnea normal. Iron deficiency anemia contribution,"Sudden onset, severe, or accompanied by chest pain/confusion"
Joint pain,Musculoskeletal,"Arthritis, gout, injury, overuse, lupus, Lyme disease",Mild to Severe,"Swelling, stiffness, reduced mobility, redness","Severe swelling, warmth, fever, sudden onset inability to move","Rest, ice/heat therapy, compression, elevation, gentle stretching",Often sports/overuse related. Gout 4x more common in men,Autoimmune arthritis (RA) 3x more common. Hormonal changes affect joint inflammation,"Lasts >2 weeks, accompanied by fever, or significantly limits mobility"
Abdominal pain,Digestive,"Gastritis, IBS, appendicitis, kidney stones, pancreatitis, hernia",Mild to Severe,"Bloating, nausea, vomiting, diarrhea, constipation","Severe sharp pain, fever, vomiting blood, rigid abdomen","Rest, heat pad, bland diet, hydration, avoid NSAIDs initially","Consider appendicitis, kidney stones, IBS equally","Consider menstrual cramping, ovulation pain, endometriosis, pelvic inflammatory disease","Severe pain, lasts >24 hours, accompanied by fever/vomiting"
Rash,General,"Dermatitis, eczema, fungal infection, viral infection, drug reaction, allergies",Mild to Moderate,"Itching, redness, swelling, blistering","Spreading rapidly, severe blistering, fever, difficulty breathing","Moisturize, avoid irritants, cool compresses, oatmeal baths",Often fungal (jock itch) or contact dermatitis,Yeast infections more common. Hormonal triggers. Cosmetics/product reactions,"Spreads rapidly, severe itching, accompanied by fever or systemic symptoms"
Cough,Respiratory,"Common cold, flu, pneumonia, asthma, GERD, smoking, allergies",Mild to Moderate,"Sore throat, runny nose, fever, wheezing, chest pain","Bloody phlegm, severe shortness of breath, chest pain","Hydration, honey, throat lozenges, humidifier, steam inhalation",Smokers at higher risk. Occupational exposure consideration,ACE inhibitor side effect more common in women. Pregnancy affects cough reflex,"Lasts >3 weeks, productive with discolored sputum, or with fever >101°F"
Back pain,Musculoskeletal,"Muscle strain, herniated disc, poor posture, osteoarthritis, kidney stones",Mild to Severe,"Muscle stiffness, numbness, leg pain, reduced mobility","Severe pain, leg numbness/weakness, loss of bowel control","Rest, heat/ice therapy, proper posture, stretching, core strengthening",Often work-related muscle strain. Disc herniation more common,Pregnancy-related sacroiliac pain common. Osteoporosis risk postmenopause,"Severe pain, accompanied by numbness/weakness, or follows trauma"
Insomnia,Mental Health,"Stress, anxiety, depression, caffeine, sleep apnea, poor sleep hygiene",Mild to Moderate,"Daytime fatigue, irritability, difficulty concentrating, anxiety","Persistent severe insomnia, suicidal ideation, manic episodes","Regular sleep schedule, avoid screens before bed, relaxation techniques, exercise",Often sleep apnea related (more common in men). Earlier onset age,"Hormonal disruptions (perimenopause, menopause). Pregnancy-related. Postpartum insomnia","Lasts >2 weeks, significantly impacts daily functioning, or worsening"
Anxiety,Mental Health,"Generalized anxiety disorder, panic disorder, stress, caffeine, medical conditions",Mild to Moderate,"Rapid heartbeat, sweating, trembling, difficulty concentrating","Chest pain, severe panic, thoughts of self-harm, hyperventilation","Deep breathing, meditation, exercise, limit caffeine, therapy",Often presents as irritability/anger. Underdiagnosed. May manifest as physical symptoms,More likely diagnosed. Linked to hormonal cycles. Postpartum anxiety/depression common,"Interferes with daily life, accompanied by physical symptoms, or worsening"
